RAD1_cam1_X,RAD1_cam1_Y,RAD1_cam2_X,RAD1_cam2_Y,RAD2_cam1_X,RAD2_cam1_Y,RAD2_cam2_X,RAD2_cam2_Y,RAD3_cam1_X,RAD3_cam1_Y,RAD3_cam2_X,RAD3_cam2_Y,MCIII1_cam1_X,MCIII1_cam1_Y,MCIII1_cam2_X,MCIII1_cam2_Y,MCIII2_cam1_X,MCIII2_cam1_Y,MCIII2_cam2_X,MCIII2_cam2_Y,MCIII3_cam1_X,MCIII3_cam1_Y,MCIII3_cam2_X,MCIII3_cam2_Y
480.822905735,85.4017959561,573.506834154,73.3413465584,485.968858154,108.499281359,561.308394778,98.3678034904,483.320385577,143.315980401,572.882715292,132.733110735,675.72632394,648.114322265,778.537322387,700.840849254,697.310104259,648.917366115,762.293696567,703.636396141,703.97255963,663.351132568,793.160626238,723.891472258
480.783271019,85.5056750436,573.484363594,73.59829011,486.154779669,108.355859862,561.241348381,98.3778614608,483.277605371,143.194501511,572.909165558,132.723421249,676.25726805,648.262446599,778.302334432,701.0945259,697.477107646,649.099278285,762.139620817,703.673300804,704.188288712,663.764269135,792.715441935,724.16488617
480.953725142,85.6475484528,573.591766405,73.3371536553,486.217108902,108.271469652,561.346221665,98.2904338239,483.370982391,143.12469174,573.097448091,132.633238295,676.344099182,648.566279305,778.242791848,701.764126721,697.648257223,649.322277285,762.050875563,704.0355436,704.549980113,664.008772842,792.313892748,724.385833621
480.932239256,85.5160402081,573.625989668,73.3915901075,486.071670442,108.565903319,561.47105857,98.2301100482,483.538331895,143.100576708,572.846031939,132.71694266,676.741653617,648.954096447,777.834726262,701.78567136,697.740107632,649.424073977,761.614286732,704.220095318,705.139732063,664.407226272,792.131427834,724.744490694
480.946562138,85.6308912182,573.526717412,73.2728982998,486.154442251,108.457536219,561.283231554,98.4439402643,483.240281088,143.396600096,572.824267558,132.653438959,676.684872289,648.972030548,777.617140061,702.087741683,698.090974484,649.633405068,761.167044909,704.408773522,705.076021345,664.428216963,791.73347821,725.221954248
480.992368073,85.6549054643,573.609548865,73.3645021191,486.074949917,108.382654173,561.370756789,98.3766821471,483.346220454,143.14776088,572.936028476,132.61082928,677.019585631,649.308510227,777.162228636,702.545334149,698.270205227,649.964028173,760.769465215,704.612166613,705.259114086,664.716079781,791.437356111,725.498698849
480.860827041,85.6492846131,573.689089055,73.2788372752,485.94337177,108.282559704,561.279169682,98.4474531585,483.287990381,143.015427662,572.976232834,132.779156817,677.387615547,649.685416527,777.019261406,702.978807795,698.590274214,650.135016885,760.601300491,705.294337824,705.619672915,664.955573091,791.269933109,725.666947955
481.100468565,85.8994044179,573.52935346,73.3280990101,486.200595381,108.273452144,561.214858546,98.4000879659,483.278109118,143.112241233,572.919365145,132.628803047,677.677654269,649.847611363,776.889654357,703.174784023,698.747896558,650.267062635,760.332925131,705.528526317,705.963560814,665.220430346,790.669915834,725.94592618
480.96745451,85.7029028223,573.772290903,73.2320004014,486.2757897,108.572523079,561.419297996,98.3640148918,483.288337139,143.436833553,572.935638621,132.70856928,677.573128554,650.213380648,776.195349514,703.260216257,698.812468545,650.543075839,759.86588075,705.783978489,706.252852859,665.73129485,790.598217789,726.584813514
481.006124465,85.5958240857,573.696068392,73.2378960621,486.206310716,108.486508223,561.385417712,98.4391740713,483.514524152,143.087356437,572.939148049,132.614084515,678.269124282,650.268774903,776.5,703.5,699.149327403,650.700758872,759.65786328,706.081628069,706.480335195,665.883736858,790.286733656,726.800109237
481.04456649,85.8162517968,573.642069812,73.319947406,486.235031098,108.870209579,561.51588469,98.3157321353,483.324852787,143.104158193,573.024295549,132.725819506,678.497572141,650.390283431,775.578584848,704.094527677,699.451244517,650.88375848,759.555516482,706.408445991,706.643863963,666.062630544,789.625,727
481.131257093,85.6792296854,573.60338491,73.2918030396,486.098478128,108.498240543,561.412656053,98.3459672274,483.417624833,143.300190563,573.02231974,132.671181579,678.532032474,650.83146872,775.560431855,704.638701826,699.467588193,651.212487995,759.182941462,706.490632955,706.657796549,666.401914283,789.332022133,727.383156198
481.225148755,85.3675110622,573.793788573,73.4287502796,486.25511093,108.428030557,561.433547262,98.3990537067,483.30680611,143.44829818,573.020177291,132.597978589,678.750309742,651.012425663,775.348245597,704.895972202,699.755151634,651.333641405,758.90941878,706.935554661,707.029794409,666.673451078,789.177129492,727.644916181
481.074665114,85.8760976007,573.805486165,73.3350573524,486.274097782,108.567428303,561.396253912,98.4458875926,483.350353048,143.40220673,572.991907789,132.619156431,678.862143067,651.126975757,775.187869912,705.083989345,700.051569337,651.894520081,758.659632518,707.064793494,707.416065489,666.876824493,788.718007495,728.031765818
481.133338807,85.3157954339,573.661047854,73.3804648389,486.185748854,108.409007086,561.493595366,98.4015955557,483.663344849,143.280331162,572.999380259,132.597000022,679.190421865,651.52940537,774.755181754,705.60380655,700.307158291,651.896680821,758.245338291,707.383232974,707.565905996,667.339592691,788.361766216,728.511755221
481.211016007,85.6102507904,573.827800023,73.3387155976,486.349771584,108.15025856,561.490148632,98.4240401797,483.577761042,143.193928448,573.054646344,132.744791313,679.399929268,651.877883842,774.578421486,705.868736162,700.479059177,652.110848147,757.851729449,707.830543725,707.905474434,667.211795657,788.159157466,728.820576339
481.101516005,85.7981895016,573.65803013,73.4650701071,486.4595889,108.731622803,561.369764116,98.3658956921,483.550769979,143.090053839,573.013566014,132.894937569,679.650078113,652.203807929,773.886869959,706.088754074,700.631614863,652.440714325,757.517539165,707.925113615,708.117670096,667.596413593,787.602076069,729.171999056
481.25883744,85.3710523404,573.778404493,73.3151996896,486.442735534,108.456942031,561.390116525,98.412634725,483.601815463,143.313045102,573.047795546,132.70706281,679.677761497,652.75348599,773.802148822,706.485285608,700.971446166,652.631536178,757.15206386,708.34067306,708.325163748,668.062868192,787.431375027,729.445271784
481.17521262,85.5427737802,573.695175023,73.427154183,486.463643538,108.443749261,561.453052538,98.3159348746,483.586812001,143.245878456,572.984868301,132.800077754,680.146400603,652.810750296,773.471076157,706.861889225,701.079232647,652.880860839,757.085006506,708.923071153,708.543059509,668.443809083,786.739402594,729.981512871
481.253896101,85.6346272448,573.784168711,73.5192746609,486.433280831,108.352634157,561.41379604,98.4356318253,483.647117915,143.149461826,573.009031552,132.576061626,680.258430691,652.937049779,773.013351597,707.319016104,701.185339242,653.184566559,756.494293927,708.946340763,708.908363522,668.757460584,786.518924163,730.343606599
481.248365184,85.4731045144,573.671527281,73.4596923487,486.514929107,108.32054191,561.41620999,98.5159809611,483.614812672,143.035265043,573.019518671,132.808897414,680.572328233,653.527691161,772.646937778,707.546559922,701.430837011,653.46142176,756.139342052,709.177293863,708.831313053,669.051029533,786.385207903,730.804488356
481.165007137,85.5215827782,573.824645018,73.5682207519,486.370839504,108.445278638,561.471141147,98.4187426001,483.424772576,143.292246646,572.994785487,132.689150463,680.66579984,653.891987382,772.444576807,708.136453367,701.560768668,653.869069357,755.864609869,709.726448755,709.192793093,669.264055135,785.971228987,731.130222794
481.337394722,85.6565493672,573.717585752,73.3954423631,486.624894989,108.391982101,561.619813647,98.3693571838,483.706974409,143.283108492,573.057653499,132.771488722,681.01718025,654.170470325,772.149597844,708.375253113,701.891841946,653.954687387,755.47878749,709.998123605,709.619815026,669.561052971,785.359142432,731.566413376
481.336979737,86.1444276556,573.752015073,73.281474605,486.363046938,108.744500238,561.466572662,98.3700505319,483.61249547,143.320492497,573.090262992,132.646735044,681.241178203,654.350890078,772.186046457,708.93964985,702.274291211,654.490145855,755.200244063,710.540657314,709.670487874,669.977174996,785.121434002,731.812101868
481.121155767,85.4354515141,573.777919485,73.4924370413,486.413612774,108.378008571,561.544751352,98.4276211023,483.655423363,143.194134458,573.045341538,132.636367215,681.412928804,654.683240325,771.505143563,709.141189055,702.215906702,654.646045827,754.842279429,710.745911121,709.758664938,670.193879527,784.65070534,732.325219245
481.388177357,85.2729752533,573.822246791,73.2174370328,486.477524933,108.628598073,561.586668524,98.4939068528,483.84468975,143.374858559,573.254916761,132.737080422,681.733474412,654.948974535,771.362564372,709.695651218,702.554620934,654.840316396,754.547869549,711.20387679,710.107479641,670.4938951,784.288671601,732.688097094
481.253913892,85.66160587,573.640844259,73.4340050525,486.526968304,108.467684686,561.532409983,98.3604888346,483.509398227,143.329794992,573.155711237,132.66217738,681.819711665,655.227556669,771.214294434,709.785705566,702.789957753,655.215626777,754.271104676,711.576938867,710.52044487,670.8874675,783.610536856,733.181168918
481.356614849,85.4443212353,573.730971631,73.4636714839,486.795256797,108.553519074,561.595351578,98.4625155471,483.586125043,143.346895534,573.171944259,132.696231478,682.174130909,655.466911232,770.776124764,710.618614702,703.021913523,655.347667184,753.986818568,711.877666144,710.753187685,671.252256487,783.464462513,733.416721117
481.332017675,85.6370640604,573.851050805,73.3309290472,486.427745494,108.60132843,561.697077644,98.4145939031,483.768526892,143.267011575,573.228366194,132.762253498,681.925791484,655.759669887,770.217828546,710.775519564,703.182098257,655.848166415,753.46322919,712.063122756,710.87741003,671.627528867,782.934167418,734.060933863
481.237614041,85.5073941105,573.78747487,73.3867894393,486.631182387,108.753548464,561.556795308,98.4461256637,483.776138165,143.368263129,573.14324949,132.775017409,682.44767324,656.185909747,769.74394124,711.263490941,703.329887904,656.052131534,753.242391569,712.387801986,711.133214263,671.958262217,782.845244653,734.223022849
481.389610332,85.7313972561,573.783602227,73.2214750626,486.387206769,108.319580506,561.426679479,98.5067084699,483.653113338,143.420607322,573.111719564,132.702465808,682.625325097,656.427453179,769.646628318,711.674034824,703.485122405,656.505501132,752.763944956,712.69213958,711.380617684,672.376457661,782.32997491,734.752449367
481.14500293,85.6070174781,573.789375075,73.2742840713,486.642610608,108.445085958,561.497894564,98.3893899664,483.687513917,143.266966124,573.152715051,132.732008048,682.82531427,656.902686349,769.168986551,712.089281305,703.75685525,656.61416384,752.358291932,713.226542067,711.787643524,672.776950362,781.952825521,735.239562341
481.310382076,85.8092931864,573.766967779,73.3122733389,486.38009951,108.649858715,561.608234285,98.342807345,483.807249524,143.110231021,573.066367814,132.714542753,683.131789418,657.472675735,768.802628343,712.42663644,703.710857323,657.049628454,751.893989563,713.895049958,711.739963894,673.007251255,781.289708905,735.369929746
481.172921388,86.0012747798,573.872666859,73.3773851934,486.535536556,108.567631057,561.489131739,98.4356076803,483.797291366,143.270608824,573.141557997,132.706920954,683.076357602,657.721553319,768.353648955,712.872527347,704.13091768,657.420532886,751.625457476,714.21982356,712.127604118,673.4777438,781.012957764,736.152632561
481.269007329,85.7633182293,573.708746955,73.4143931545,486.461257452,108.467357969,561.619562477,98.465651715,483.666273749,143.669065184,573.15074314,132.62064178,683.165047812,657.885478911,768.019439115,713.295940907,704.302950757,657.817699159,751.012702966,714.366330814,712.14886713,673.949560863,780.593886549,736.427759472
481.428152409,85.8812256578,573.738441199,73.3269645047,486.404242241,108.611538544,561.629458179,98.5416500656,483.664260586,143.256282057,573.194443828,132.709610864,683.388673098,658.39696533,767.602422068,713.769474663,704.280951737,657.878613483,750.957058837,714.829160239,712.306491407,674.109677595,780.049801732,736.889843206
481.257358985,85.7890137115,573.843241692,73.3263971935,486.2673916,108.63253839,561.454279261,98.5523048757,483.670474444,143.111146041,573.1104405,132.764639872,683.695218451,658.675744144,767.312533563,714.066161402,704.510981751,658.387042466,750.421094829,715.13749299,712.834317969,674.684948121,779.706477164,737.3543714
481.244814112,85.6095521193,573.810768623,73.5140997393,486.584607377,108.541140452,561.611035414,98.4391445344,483.575218136,143.355720888,573.134255674,132.594811037,683.949142727,658.928217871,766.945788296,714.619330507,704.758642956,658.607867227,750.017979702,715.524919629,712.817421092,674.741832122,779.287166532,737.868148426
481.293736596,85.9073939906,573.735593746,73.4349695497,486.508729537,108.322406573,561.530994908,98.412080699,483.90079734,143.311972952,573.081524234,132.890280783,684.264815863,659.535152998,766.835304128,714.916265129,704.915480045,658.981460079,749.430330173,715.855194318,713.038712088,675.343360016,778.551501434,738.386376255
481.218523172,85.7255434091,573.739219401,73.2110016163,486.63493155,108.356545228,561.527495197,98.523586168,483.746278271,143.262271957,572.976776472,132.739664555,684.304845647,659.790761982,766.32653091,715.621447688,705.17325456,659.341780448,749.006559408,716.339864339,713.268093733,675.681814038,778.187210898,738.834022338
481.27719494,85.7519403212,573.714024349,73.532387242,486.926748547,108.314271351,561.474829257,98.5871856133,484.037803059,143.343099182,573.058360446,132.74659004,684.289389127,660.223130982,765.756995533,716.009337182,705.359262915,659.700874134,748.64850164,716.664737199,713.590130778,676.064309641,777.986575493,739.161955344
481.198258043,85.8139323409,573.76868188,73.325105838,486.605038049,108.347353375,561.443772434,98.3794153329,483.670566926,143.409933605,572.979352345,132.778944744,684.549516745,660.50491495,765.180253873,716.187137631,705.747790754,659.970328004,748.323369414,717.116148646,713.714669908,676.428570662,777.530514474,739.711064969
481.363033384,85.7599590832,573.686837345,73.4127182211,486.583157371,108.575023814,561.339590542,98.4352969824,483.627773669,143.212711935,572.924307951,132.842647134,684.77173305,660.843551384,764.939647546,716.744286377,705.7888662,660.290377428,747.934100602,717.652073316,713.959973779,676.736474067,776.938514969,739.992333641
481.080288036,85.7070353178,573.695112945,73.4118473112,486.606468914,108.791434769,561.277522912,98.5617918356,483.786398341,143.266833218,572.931145667,132.910667112,684.936667785,661.09294629,764.504191012,717.202141352,706.094113721,660.618254183,747.429503281,717.960721651,714.048154459,677.056291351,776.574718244,740.553445898
481.412071233,86.0417469553,573.589729269,73.3182379258,486.724879761,108.857174146,561.534518266,98.6038173703,483.766957557,143.396595664,572.957474867,132.696361041,685.33934152,661.518132082,764.141160875,717.614934931,705.993296246,660.964278778,747.112824693,718.417329558,714.152743066,677.197531597,776.14745859,741.03595601
481.569378833,86.0517331215,573.655087903,73.3556915395,486.605914084,108.570698677,561.488622982,98.5241683975,483.742709531,143.156021844,572.90603552,132.716233187,685.227756639,661.739981926,763.615216543,718.037104247,706.363887949,661.273535425,746.688553325,718.873130222,714.367047159,677.958622193,775.552310622,741.283034928
481.259467862,85.6902102366,573.687832955,73.3405905033,486.436430727,108.693624876,561.364149283,98.4998210516,483.605395139,143.149679698,572.97609407,132.682745737,685.42765046,662.293289388,763.554141927,718.518129488,706.366442659,661.398964125,746.395213768,719.105709191,714.530302675,678.188025432,775.14679668,742.010860715
481.33937388,86.1150590625,573.574749107,73.4092932704,486.579317869,108.69003925,561.387609229,98.4575660518,483.689819279,143.360633449,573.073728789,132.646345369,685.589278015,662.973471741,762.942675147,719.092063067,706.591866299,662.031960693,745.790593513,719.526442163,714.91326751,678.700986944,774.644425365,742.458251563
481.300644534,85.8831102228,573.533659028,73.2420457262,486.60093306,108.374503894,561.343865286,98.4954571434,483.724372215,143.391130346,573.098911241,132.815054507,685.973986488,663.291315163,762.457271535,719.476350412,706.674842752,662.413123691,745.554549187,720.124933265,714.998789548,679.227683986,774.165711887,743.000023146
